slot,race_id,race_date_jst,venue,race_no,post_time_jst,freeze_sha256,battle_race_flag,bet_type,combination,magi_pure_stake_yen,orepro_registered_stake_yen,forced_scale_up_yen,odds_snapshot_time_jst,model_probability,purchase_available_decimal_odds,expected_value,submitted_at_jst,submission_status,notes
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
